#{"t_start": 1764490025.1546538, "env_id": "None"}
r,l,t
223.159153,500,1357.218695
225.297742,500,1365.930829
112.934367,221,1370.069443
231.227413,500,1378.7586
219.52452,500,1387.569872
225.951046,500,1396.304797
188.609822,432,1403.888436
197.205251,398,1411.022569
138.668121,271,1415.959156
138.88833,282,1421.167969
169.869889,335,1427.176426
231.504951,500,1435.973914
222.925144,500,1444.95702
222.417232,500,1453.727822
225.441073,500,1462.515262
216.745449,500,1471.186176
225.970296,500,1479.960731
219.590057,500,1488.502149
227.479508,500,1496.927871
219.390978,500,1505.685
184.226411,428,1513.319536
224.948054,500,1521.368892
224.501848,500,1529.374536
218.734904,500,1537.458119
222.184232,500,1545.603707
224.446721,500,1553.493418
220.130668,500,1561.56655
215.995497,500,1569.631574
225.200569,500,1577.660263
225.039515,500,1585.642676
225.462047,500,1593.673077
221.913576,500,1601.748002
223.566301,500,1609.705495
227.545332,500,1617.694275
224.814864,500,1625.793657
225.160663,500,1633.768913
219.016069,500,1641.816182
223.114696,500,1649.77527
227.242535,500,1657.898316
227.84926,500,1665.912645
225.887063,500,1673.835997
178.955259,378,1680.030357
200.049637,410,1686.832464
224.192201,500,1694.822049
227.017175,500,1702.824579
225.415798,500,1711.098304
227.288966,500,1719.099117
219.485357,500,1727.248534
219.342249,500,1735.189202
226.737142,500,1743.299587
228.72372,500,1751.312221
226.347968,500,1759.228976
224.232651,500,1767.257514
218.002065,500,1775.452005
226.144631,500,1783.368244
225.700788,500,1791.371903
223.615636,500,1799.33258
224.532214,500,1807.363183
224.188408,500,1815.224009
220.731974,500,1823.139163
219.356561,500,1831.263102
223.666577,500,1839.262767
235.168191,500,1847.145156
220.261771,500,1855.109487
213.551986,500,1863.310811
226.9744,500,1871.352838
226.102154,500,1879.387808
222.273817,500,1887.316635
223.077385,500,1895.408813
223.442117,500,1903.312696
204.353169,436,1910.337866
228.938615,500,1918.351804
222.977395,500,1926.351231
226.300619,500,1934.325053
221.188167,500,1942.258756
208.196973,466,1949.72765
166.168193,339,1955.303231
217.906934,500,1963.276512
227.142997,500,1971.26702
228.415717,500,1979.267971
226.912464,500,1987.308426
214.588309,500,1995.213979
219.156946,500,2003.039301
227.501275,500,2011.075257
222.447463,500,2018.981569
215.211522,500,2026.951723
204.205249,420,2033.566488
227.873844,500,2041.698003
222.800624,500,2049.58515
220.147258,500,2057.579728
220.961882,491,2065.415781
231.99821,500,2073.431803
215.543778,500,2081.474232
226.021827,500,2089.349826
228.438151,500,2097.308125
227.477567,500,2105.369011
201.914669,408,2111.843594
224.497065,500,2119.787117
225.290105,500,2127.798243
222.144235,500,2135.889432
229.164044,500,2143.793379
220.005536,500,2151.703611
220.185154,500,2159.812525
220.897776,500,2167.868411
221.305416,500,2175.8681
221.151894,500,2183.834991
226.164682,500,2191.916852
211.203994,500,2199.903512
210.52319,500,2207.853406
230.638922,500,2215.896427
228.080695,500,2223.905345
221.56077,500,2231.776917
230.709124,500,2239.63239
224.003998,500,2247.536747
236.282478,490,2255.425688
218.04405,500,2263.36025
219.74632,500,2271.340578
212.150047,500,2279.287623
226.094453,500,2287.349285
164.951856,343,2292.977144
224.502078,500,2300.936026
217.864793,500,2309.210348
204.786552,500,2317.72726
224.724805,500,2327.35435
216.451156,500,2336.311092
207.285604,465,2344.27549
224.605708,500,2353.010936
228.244257,500,2361.697958
213.311483,500,2370.387856
220.003187,500,2378.887821
183.98198,396,2385.704838
229.34825,500,2394.29327
224.461743,500,2403.116494
221.471781,500,2411.865017
229.97425,500,2420.566505
228.214725,500,2429.224299
206.989069,500,2438.061486
228.034956,500,2446.808439
225.819639,500,2455.484898
224.25576,500,2464.266505
218.309889,500,2472.899962
218.854563,500,2481.589109
215.711056,500,2490.150199
235.130263,500,2498.924841
226.446286,500,2507.47296
225.411859,500,2516.091492
229.777518,500,2524.680975
106.520342,235,2529.050928
221.908044,500,2538.316174
222.941914,500,2547.306026
227.992527,500,2557.866827
230.710975,500,2567.753295
223.585343,500,2576.660737
224.299888,500,2585.677168
220.963382,500,2594.607233
222.770887,500,2603.5218
225.214364,500,2613.258651
221.57156,500,2621.681327
222.860299,500,2630.013383
229.794172,500,2638.235214
156.247329,326,2644.353019
228.062025,500,2654.504909
219.971671,500,2663.830516
221.4453,500,2674.346
221.247832,500,2682.713534
214.276099,500,2692.561472
225.711606,463,2701.169538
226.331998,500,2710.519582
226.911848,500,2719.594884
226.486065,500,2728.289446
222.085488,500,2739.054995
218.091687,500,2748.366594
152.701705,298,2754.059557
218.481975,500,2762.597819
228.567641,500,2771.413864
227.22435,500,2780.068597
223.914973,500,2788.901971
227.698663,500,2797.697882
224.05712,500,2806.399419
230.164394,500,2814.977874
229.890271,500,2823.919429
229.79251,500,2832.527051
229.072356,500,2840.662542
182.11015,359,2847.050443
220.390742,500,2855.602636
215.260333,500,2864.059588
227.705842,500,2872.612391
222.964144,500,2880.844028
227.501505,500,2888.93981
226.419333,500,2897.801866
224.057237,500,2906.544889
228.269922,500,2914.744466
229.679972,500,2923.405757
231.082601,500,2932.177628
219.347398,500,2940.899482
223.019075,500,2949.53071
217.163604,500,2957.995675
229.292616,500,2966.527735
222.829875,500,2975.214711
205.965735,500,2983.918435
229.892505,500,2992.52567
225.03196,500,3001.342379
226.149602,500,3009.939466
225.73106,500,3018.188883
227.167394,500,3026.842482
226.811923,500,3035.625759
217.228297,500,3044.231236
225.726852,500,3052.89542
228.661361,500,3062.024234
225.570731,500,3071.201688
226.005473,500,3080.250755
230.212169,500,3088.605191
225.968447,500,3097.021735
165.476193,388,3103.541685
232.765294,500,3112.155333
221.516082,500,3120.92107
219.352322,500,3129.572588
165.796538,339,3135.588257
225.705759,500,3144.309326
229.381227,500,3153.038023
186.023064,373,3159.685142
223.158209,500,3168.317327
220.559561,500,3176.98291
228.487059,500,3185.392489
226.741222,500,3194.165403
220.476279,500,3202.780535
226.006376,500,3211.600853
226.723476,500,3220.427369
219.627644,500,3229.128112
187.052,435,3236.703691
225.743447,500,3245.491507
203.526433,500,3254.260404
226.408318,500,3262.906423
225.907297,500,3271.725505
224.46217,500,3280.553918
229.888814,500,3289.363485
226.640307,500,3298.061035
222.302121,500,3307.0654
229.743431,500,3315.657502
222.550159,500,3324.37065
228.217394,500,3333.063266
227.766273,500,3341.751575
220.526998,500,3350.449733
212.900656,500,3359.178761
223.412436,500,3368.041819
226.751334,500,3376.897573
223.312317,500,3385.349286
226.694598,500,3394.431997
228.175167,500,3403.175512
223.228002,500,3411.940368
118.940741,232,3416.24886
230.482425,500,3425.048326
221.864374,500,3433.778672
229.207067,500,3442.474911
217.143713,500,3451.34179
224.581894,500,3460.159039
220.613749,500,3468.917302
222.745528,500,3477.612325
228.670867,500,3486.52328
219.049959,500,3494.882477
224.439077,487,3503.270613
224.607783,500,3512.484916
228.228246,500,3520.896525
219.991164,500,3529.664215
232.964084,500,3538.434902
125.151026,249,3542.873609
158.553501,331,3548.791052
222.26775,500,3557.599095
232.667667,500,3566.23499
219.418025,500,3574.595923
226.341205,500,3582.873384
223.36725,500,3591.714757
221.111636,500,3600.412758
181.019697,411,3607.724965
227.999862,500,3616.5474
216.229399,500,3625.55357
231.05723,500,3634.225194
220.777871,500,3643.010093
226.221217,500,3651.609178
228.077716,500,3660.318976
217.007293,500,3669.107706
225.684307,500,3677.880426
223.94998,500,3686.590705
225.120084,500,3695.457932
224.264166,500,3704.107682
225.697783,500,3712.788756
193.018361,406,3720.079093
231.452772,500,3728.852824
224.776587,500,3737.740627
227.381558,500,3746.512604
227.092804,500,3755.32296
225.759576,500,3763.924565
221.463514,500,3772.75074
230.621164,500,3781.615176
217.634868,500,3790.319545
216.110075,500,3799.031171
230.173526,500,3807.806083
